               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052131,            0.054228,            0.013146,             0.49469,             0.53881,              0.5078,             0.28423,            0.051908,            0.045597,            0.015428,           0.0033261,           0.0033261,            0.070065
                   1,            0.050359,            0.058387,            0.017313,             0.61785,             0.44322,             0.47766,             0.26397,            0.049566,            0.052642,            0.022161,           0.0066592,           0.0066592,            0.040065
                   2,              0.0486,            0.065588,            0.022867,             0.53898,             0.41253,             0.42324,             0.24033,            0.049143,            0.056306,            0.026312,           0.0099914,           0.0099914,            0.010063
                   3,            0.047358,            0.066748,            0.023463,             0.60156,             0.47673,             0.50247,             0.30589,            0.045194,            0.050644,            0.021491,           0.0099968,           0.0099968,           0.0099968
                   4,            0.045731,            0.064754,            0.021934,             0.64275,             0.49814,             0.53375,             0.33246,            0.043943,            0.050166,             0.02018,           0.0099968,           0.0099968,           0.0099968
                   5,            0.045044,            0.064027,            0.021081,              0.6762,              0.4884,             0.54357,             0.34741,            0.042356,            0.049514,            0.018984,           0.0099943,           0.0099943,           0.0099943
                   6,            0.044703,            0.064126,             0.02072,             0.67591,             0.50019,             0.55309,             0.35457,            0.041703,            0.049237,            0.018567,           0.0099911,           0.0099911,           0.0099911
                   7,            0.044396,            0.063395,            0.020436,             0.66098,             0.51633,             0.55636,             0.36088,             0.04121,            0.049191,            0.018592,           0.0099872,           0.0099872,           0.0099872
                   8,            0.044243,            0.063736,             0.02014,             0.66797,             0.51636,             0.55993,             0.36927,             0.04073,            0.048648,            0.017712,           0.0099826,           0.0099826,           0.0099826
                   9,            0.044414,            0.064308,            0.019987,             0.68073,             0.53096,             0.57621,             0.38172,            0.040308,            0.048058,            0.016852,           0.0099773,           0.0099773,           0.0099773
                  10,            0.044137,             0.06371,            0.019833,             0.68313,             0.53381,             0.58423,             0.38986,            0.039774,            0.047832,            0.016639,           0.0099713,           0.0099713,           0.0099713
                  11,            0.044152,            0.063756,            0.019975,              0.6815,             0.54436,             0.58806,             0.39333,            0.039564,            0.047667,            0.016335,           0.0099645,           0.0099645,           0.0099645
                  12,            0.044187,            0.063767,            0.019899,             0.69964,             0.53199,              0.5866,             0.39333,            0.039608,            0.047677,              0.0165,           0.0099571,           0.0099571,           0.0099571
                  13,            0.044132,            0.063546,            0.019856,             0.68021,             0.55373,             0.59873,             0.40566,            0.039056,            0.047243,            0.015871,           0.0099489,           0.0099489,           0.0099489
                  14,            0.044022,            0.063958,            0.019712,             0.69071,             0.55119,              0.5991,             0.40671,            0.038854,            0.047214,            0.015856,           0.0099401,           0.0099401,           0.0099401
                  15,            0.044002,            0.063444,             0.01977,             0.68198,             0.55167,             0.59733,             0.40607,            0.038927,            0.047263,             0.01591,           0.0099305,           0.0099305,           0.0099305
                  16,             0.04401,            0.063168,            0.019534,             0.68678,             0.56966,             0.61384,             0.41865,            0.038378,            0.046698,            0.015103,           0.0099203,           0.0099203,           0.0099203
                  17,            0.043998,            0.064359,            0.019555,             0.69383,             0.57078,             0.61631,             0.42096,            0.038145,            0.046499,            0.014961,           0.0099093,           0.0099093,           0.0099093
                  18,            0.043902,            0.063833,            0.019739,             0.70776,             0.56335,             0.61967,             0.42579,            0.037939,            0.046544,            0.014718,           0.0098977,           0.0098977,           0.0098977
                  19,            0.043877,             0.06357,            0.019399,             0.68701,             0.58353,             0.62461,             0.43038,             0.03769,             0.04627,            0.014453,           0.0098854,           0.0098854,           0.0098854
                  20,            0.044026,            0.063855,             0.01945,             0.71286,             0.56428,             0.62478,              0.4309,            0.037702,            0.046174,            0.014472,           0.0098723,           0.0098723,           0.0098723
                  21,            0.043648,            0.063385,            0.019598,             0.70601,             0.57241,             0.62734,             0.43241,            0.037578,            0.046194,            0.014284,           0.0098586,           0.0098586,           0.0098586
                  22,            0.043702,            0.063077,            0.019613,             0.69724,             0.57881,             0.63013,             0.43425,            0.037447,            0.046039,            0.014104,           0.0098442,           0.0098442,           0.0098442
                  23,            0.043558,            0.062854,            0.019365,             0.69718,              0.5875,             0.63394,             0.43912,            0.037342,            0.045994,            0.013995,           0.0098291,           0.0098291,           0.0098291
                  24,            0.043829,            0.063409,            0.019717,             0.72629,             0.57194,             0.63472,             0.43888,            0.037266,            0.045978,            0.013856,           0.0098133,           0.0098133,           0.0098133
                  25,            0.043719,             0.06335,             0.01934,             0.72327,             0.56961,             0.63421,             0.44002,            0.037168,            0.045992,            0.013835,           0.0097969,           0.0097969,           0.0097969
                  26,            0.043676,            0.063212,            0.019272,              0.7138,             0.58142,             0.63716,             0.44271,            0.037039,            0.045939,            0.013743,           0.0097798,           0.0097798,           0.0097798
                  27,            0.043671,            0.063473,            0.019361,             0.71154,             0.58435,             0.63935,             0.44374,            0.036964,            0.045828,            0.013649,           0.0097619,           0.0097619,           0.0097619
                  28,            0.043646,            0.063347,            0.019592,             0.69023,             0.59586,              0.6406,             0.44491,              0.0369,            0.045793,            0.013615,           0.0097435,           0.0097435,           0.0097435
                  29,            0.043711,             0.06335,            0.019389,             0.71955,             0.57969,             0.64051,             0.44537,            0.036856,            0.045804,            0.013594,           0.0097243,           0.0097243,           0.0097243
                  30,            0.043613,            0.063449,             0.01927,             0.71056,             0.58921,             0.64228,             0.44667,              0.0368,            0.045808,             0.01356,           0.0097045,           0.0097045,           0.0097045
                  31,            0.043542,            0.063012,            0.019125,             0.70829,             0.59125,             0.64266,             0.44775,            0.036776,            0.045763,            0.013512,            0.009684,            0.009684,            0.009684
                  32,            0.043451,            0.063377,            0.019393,             0.69695,             0.59872,             0.64258,             0.44775,            0.036745,            0.045757,            0.013469,           0.0096628,           0.0096628,           0.0096628
                  33,            0.043447,             0.06346,             0.01926,             0.70091,             0.59592,             0.64312,             0.44813,            0.036709,            0.045761,            0.013456,            0.009641,            0.009641,            0.009641
                  34,            0.043602,            0.063812,            0.019222,             0.68711,             0.60384,             0.64302,             0.44856,            0.036691,             0.04575,            0.013445,           0.0096186,           0.0096186,           0.0096186
                  35,            0.043288,            0.062794,            0.019024,             0.72252,              0.5836,             0.64341,              0.4483,            0.036679,            0.045749,            0.013428,           0.0095955,           0.0095955,           0.0095955
                  36,            0.043529,            0.063026,            0.019279,             0.72914,             0.58045,             0.64397,             0.44898,            0.036666,             0.04575,            0.013403,           0.0095717,           0.0095717,           0.0095717
                  37,            0.043528,            0.062909,            0.019132,             0.71219,             0.58902,             0.64456,             0.44915,             0.03665,            0.045747,            0.013376,           0.0095473,           0.0095473,           0.0095473
                  38,            0.043367,             0.06306,            0.019158,             0.74836,             0.56904,             0.64438,             0.44905,            0.036638,            0.045734,            0.013357,           0.0095223,           0.0095223,           0.0095223
                  39,            0.043409,            0.063362,            0.019229,             0.70631,             0.59264,             0.64455,              0.4495,            0.036626,            0.045719,            0.013334,           0.0094966,           0.0094966,           0.0094966
                  40,            0.043245,            0.063158,            0.019063,             0.72015,             0.58545,             0.64517,             0.44976,            0.036615,            0.045705,            0.013316,           0.0094703,           0.0094703,           0.0094703
                  41,            0.043441,            0.063973,            0.019146,              0.7236,             0.58409,              0.6456,             0.44998,            0.036602,            0.045681,              0.0133,           0.0094434,           0.0094434,           0.0094434
                  42,            0.043483,             0.06354,            0.018956,             0.72363,             0.58423,             0.64617,             0.45076,            0.036591,            0.045666,            0.013292,           0.0094158,           0.0094158,           0.0094158
                  43,            0.043192,            0.062971,            0.019034,             0.71029,             0.59147,              0.6461,             0.45063,            0.036584,            0.045653,            0.013283,           0.0093877,           0.0093877,           0.0093877
                  44,            0.043172,            0.062762,             0.01895,              0.7126,             0.58905,              0.6463,             0.45115,            0.036574,            0.045642,            0.013276,           0.0093589,           0.0093589,           0.0093589
                  45,            0.043341,             0.06361,            0.018983,             0.71992,             0.58538,             0.64697,               0.451,            0.036565,            0.045624,            0.013269,           0.0093295,           0.0093295,           0.0093295
                  46,            0.043099,            0.063078,            0.018781,             0.72253,             0.58475,             0.64663,             0.45107,            0.036557,            0.045606,            0.013259,           0.0092995,           0.0092995,           0.0092995
                  47,            0.043269,            0.062877,            0.019046,             0.72131,             0.58602,             0.64639,              0.4511,            0.036551,            0.045599,            0.013247,           0.0092689,           0.0092689,           0.0092689
                  48,            0.043266,             0.06301,            0.018893,             0.70589,             0.59569,              0.6466,             0.45151,            0.036546,            0.045582,            0.013238,           0.0092377,           0.0092377,           0.0092377
                  49,            0.043081,            0.062884,            0.018756,             0.71566,             0.59109,             0.64718,             0.45164,            0.036545,            0.045572,            0.013228,           0.0092059,           0.0092059,           0.0092059
                  50,            0.043285,            0.063122,             0.01893,             0.71421,              0.5918,             0.64736,             0.45176,            0.036543,            0.045559,            0.013217,           0.0091735,           0.0091735,           0.0091735
                  51,            0.043161,            0.063271,             0.01887,             0.71681,             0.59066,             0.64771,             0.45195,            0.036544,            0.045545,            0.013208,           0.0091406,           0.0091406,           0.0091406
                  52,            0.042996,            0.063351,            0.018811,             0.71105,             0.59323,             0.64765,             0.45196,            0.036543,            0.045535,            0.013204,           0.0091071,           0.0091071,           0.0091071
                  53,            0.043135,            0.062739,             0.01851,             0.73649,             0.57874,             0.64734,              0.4518,             0.03654,            0.045522,            0.013199,            0.009073,            0.009073,            0.009073
                  54,             0.04315,             0.06287,            0.018739,             0.72809,             0.58347,             0.64743,             0.45206,            0.036537,            0.045508,            0.013199,           0.0090383,           0.0090383,           0.0090383
                  55,            0.043007,            0.062929,            0.018654,             0.72784,             0.58344,              0.6474,             0.45189,            0.036534,            0.045494,            0.013195,           0.0090031,           0.0090031,           0.0090031
                  56,             0.04286,            0.062667,            0.018643,             0.70988,             0.59414,             0.64756,             0.45189,             0.03653,            0.045474,            0.013191,           0.0089673,           0.0089673,           0.0089673
                  57,            0.042929,            0.062899,            0.018755,             0.72252,             0.58607,             0.64757,             0.45188,            0.036525,            0.045457,            0.013185,            0.008931,            0.008931,            0.008931
                  58,            0.042911,            0.062474,            0.018661,             0.70399,               0.597,             0.64754,             0.45228,            0.036521,            0.045446,            0.013177,           0.0088941,           0.0088941,           0.0088941
                  59,            0.042902,            0.063383,            0.018482,             0.72865,             0.58255,             0.64772,             0.45232,            0.036517,             0.04543,             0.01317,           0.0088567,           0.0088567,           0.0088567
                  60,            0.042927,            0.062271,            0.018432,             0.73116,             0.58094,             0.64767,             0.45247,            0.036515,            0.045413,            0.013166,           0.0088188,           0.0088188,           0.0088188
                  61,            0.042783,            0.062576,            0.018515,             0.72329,             0.58757,             0.64815,             0.45315,            0.036514,            0.045399,            0.013161,           0.0087804,           0.0087804,           0.0087804
                  62,            0.042917,             0.06289,            0.018443,             0.72366,             0.58756,             0.64821,             0.45351,            0.036513,            0.045389,            0.013155,           0.0087414,           0.0087414,           0.0087414
                  63,            0.042923,            0.063202,            0.018461,             0.72401,             0.58749,              0.6483,             0.45339,            0.036513,            0.045374,            0.013147,           0.0087019,           0.0087019,           0.0087019
                  64,            0.042636,            0.062316,            0.018425,             0.72362,             0.58721,             0.64807,             0.45328,             0.03651,            0.045362,            0.013139,           0.0086619,           0.0086619,           0.0086619
                  65,            0.042801,            0.062709,            0.018226,             0.72301,             0.58829,             0.64834,             0.45344,            0.036506,            0.045351,            0.013132,           0.0086214,           0.0086214,           0.0086214
                  66,            0.042745,             0.06265,            0.018495,             0.71919,             0.59009,             0.64862,             0.45333,            0.036504,            0.045344,            0.013127,           0.0085805,           0.0085805,           0.0085805
                  67,            0.042619,            0.062713,            0.018257,             0.71654,             0.59155,             0.64895,             0.45361,            0.036504,            0.045333,            0.013119,            0.008539,            0.008539,            0.008539
                  68,            0.042555,            0.062401,            0.018291,             0.74386,             0.57536,             0.64905,             0.45362,            0.036499,             0.04533,             0.01311,           0.0084971,           0.0084971,           0.0084971
                  69,            0.042592,            0.062658,            0.018012,             0.72039,             0.58844,             0.64907,             0.45382,            0.036492,            0.045322,            0.013102,           0.0084546,           0.0084546,           0.0084546
                  70,            0.042644,            0.062314,            0.018136,             0.72229,             0.58782,             0.64908,             0.45383,            0.036483,            0.045315,            0.013098,           0.0084118,           0.0084118,           0.0084118
                  71,            0.042486,            0.062177,            0.018075,              0.7217,             0.58761,             0.64919,             0.45377,             0.03648,            0.045314,            0.013093,           0.0083684,           0.0083684,           0.0083684
                  72,             0.04248,            0.062761,             0.01823,             0.73796,             0.57827,             0.64918,             0.45382,            0.036473,             0.04531,            0.013084,           0.0083246,           0.0083246,           0.0083246
                  73,            0.042505,            0.063261,            0.017988,             0.73637,             0.57945,             0.64907,             0.45381,            0.036469,            0.045311,            0.013072,           0.0082804,           0.0082804,           0.0082804
                  74,            0.042432,            0.062283,            0.018274,             0.74737,             0.57299,             0.64884,             0.45408,            0.036461,            0.045305,            0.013066,           0.0082357,           0.0082357,           0.0082357
                  75,            0.042406,            0.062762,            0.018076,             0.75609,             0.56909,             0.64915,              0.4544,            0.036455,            0.045304,            0.013058,           0.0081906,           0.0081906,           0.0081906
                  76,            0.042365,            0.062347,            0.018045,             0.74779,             0.57346,             0.64924,             0.45466,             0.03645,            0.045294,            0.013054,            0.008145,            0.008145,            0.008145
                  77,            0.042436,            0.062146,            0.017962,             0.73406,             0.58054,             0.64891,             0.45478,            0.036444,            0.045289,            0.013045,           0.0080991,           0.0080991,           0.0080991
                  78,            0.042307,            0.062252,            0.017881,             0.73762,             0.57961,             0.64916,             0.45477,             0.03644,            0.045282,            0.013037,           0.0080527,           0.0080527,           0.0080527
                  79,            0.042387,            0.062075,            0.017727,             0.74052,             0.57744,             0.64933,             0.45484,            0.036435,             0.04528,            0.013028,           0.0080059,           0.0080059,           0.0080059
                  80,            0.042236,            0.061851,            0.017903,              0.6928,             0.60505,             0.64975,             0.45488,             0.03643,            0.045282,            0.013019,           0.0079588,           0.0079588,           0.0079588
                  81,            0.042226,            0.062046,            0.017555,             0.72921,             0.58258,             0.65011,             0.45496,            0.036422,            0.045269,            0.013012,           0.0079112,           0.0079112,           0.0079112
                  82,            0.042271,            0.062111,            0.017679,             0.72542,             0.58436,             0.65015,             0.45496,            0.036415,            0.045264,            0.013006,           0.0078633,           0.0078633,           0.0078633
                  83,            0.042093,             0.06169,             0.01763,             0.71838,             0.58846,             0.65041,             0.45514,            0.036409,             0.04525,            0.013002,            0.007815,            0.007815,            0.007815
                  84,            0.042105,            0.061752,            0.017745,             0.69901,             0.60032,             0.65039,             0.45518,            0.036405,            0.045252,            0.012995,           0.0077663,           0.0077663,           0.0077663
                  85,            0.042076,            0.061568,            0.017585,              0.7231,             0.58591,             0.65062,             0.45523,            0.036397,            0.045241,            0.012984,           0.0077173,           0.0077173,           0.0077173
                  86,            0.042163,            0.062176,            0.017765,             0.72086,             0.58839,             0.65145,             0.45539,            0.036389,            0.045235,            0.012974,           0.0076679,           0.0076679,           0.0076679
                  87,            0.042066,            0.061887,             0.01766,             0.71908,              0.5899,             0.65193,              0.4555,            0.036381,             0.04523,            0.012963,           0.0076182,           0.0076182,           0.0076182
                  88,            0.041983,            0.061369,            0.017621,              0.7265,             0.58514,             0.65194,             0.45553,            0.036371,            0.045225,             0.01295,           0.0075681,           0.0075681,           0.0075681
                  89,            0.041916,            0.061773,            0.017603,             0.71449,             0.59201,             0.65198,             0.45618,            0.036361,            0.045215,            0.012941,           0.0075177,           0.0075177,           0.0075177
                  90,            0.042056,            0.062776,            0.017404,             0.72714,             0.58632,             0.65206,             0.45615,            0.036351,            0.045205,             0.01293,            0.007467,            0.007467,            0.007467
                  91,            0.041897,            0.062032,            0.017457,             0.72961,             0.58545,             0.65216,             0.45638,            0.036343,            0.045191,            0.012917,            0.007416,            0.007416,            0.007416
                  92,            0.041623,            0.062075,            0.017144,             0.73202,             0.58444,             0.65225,             0.45634,            0.036336,            0.045177,            0.012904,           0.0073647,           0.0073647,           0.0073647
                  93,            0.041782,            0.061412,            0.017367,             0.72235,             0.59022,             0.65292,             0.45706,            0.036328,            0.045173,            0.012894,           0.0073131,           0.0073131,           0.0073131
                  94,            0.041748,            0.062004,            0.017274,             0.72221,             0.59002,             0.65265,             0.45688,            0.036322,            0.045167,            0.012882,           0.0072612,           0.0072612,           0.0072612
                  95,            0.041875,            0.061708,            0.017282,             0.71368,             0.59556,             0.65291,             0.45696,            0.036315,            0.045159,             0.01287,            0.007209,            0.007209,            0.007209
                  96,            0.041628,            0.061355,             0.01732,             0.71315,             0.59629,             0.65325,             0.45733,            0.036311,            0.045152,             0.01286,           0.0071566,           0.0071566,           0.0071566
                  97,            0.041314,            0.061301,            0.017301,             0.71637,             0.59384,             0.65323,              0.4575,            0.036304,             0.04514,            0.012847,           0.0071039,           0.0071039,           0.0071039
                  98,            0.041606,            0.061815,            0.017266,             0.71442,             0.59543,             0.65345,             0.45756,            0.036294,            0.045129,             0.01283,           0.0070509,           0.0070509,           0.0070509
                  99,            0.041516,            0.061824,            0.017125,             0.70965,             0.59831,             0.65361,             0.45771,            0.036284,            0.045126,            0.012817,           0.0069977,           0.0069977,           0.0069977
                 100,            0.041699,             0.06156,            0.017169,             0.71156,             0.59741,             0.65373,             0.45788,            0.036271,            0.045118,            0.012804,           0.0069442,           0.0069442,           0.0069442
                 101,            0.041603,            0.060998,            0.017065,             0.71853,             0.59352,              0.6538,             0.45823,            0.036259,            0.045116,            0.012791,           0.0068906,           0.0068906,           0.0068906
                 102,            0.041388,            0.061045,             0.01689,             0.70575,             0.60099,             0.65414,             0.45842,            0.036247,            0.045113,             0.01278,           0.0068367,           0.0068367,           0.0068367
                 103,            0.041405,            0.061272,            0.016988,             0.73635,             0.58361,             0.65424,             0.45854,            0.036237,            0.045107,            0.012769,           0.0067826,           0.0067826,           0.0067826
                 104,            0.041344,            0.061526,            0.016807,             0.73727,              0.5832,             0.65473,             0.45875,            0.036227,            0.045104,            0.012758,           0.0067283,           0.0067283,           0.0067283
                 105,            0.041091,            0.060955,             0.01642,             0.73698,              0.5836,             0.65549,             0.45879,            0.036215,            0.045094,            0.012743,           0.0066738,           0.0066738,           0.0066738
                 106,            0.041297,            0.061246,            0.016906,             0.73827,             0.58329,             0.65559,             0.45902,            0.036202,            0.045093,            0.012734,           0.0066191,           0.0066191,           0.0066191
                 107,            0.040959,             0.06047,            0.016727,             0.69173,             0.61189,             0.65553,             0.45934,            0.036189,            0.045083,            0.012724,           0.0065642,           0.0065642,           0.0065642
                 108,            0.041137,            0.060972,            0.016651,             0.69178,              0.6123,             0.65559,             0.45942,            0.036181,            0.045077,            0.012714,           0.0065092,           0.0065092,           0.0065092
                 109,            0.041197,            0.061641,            0.016558,             0.69214,              0.6127,             0.65543,             0.45978,            0.036172,            0.045073,            0.012701,            0.006454,            0.006454,            0.006454
                 110,            0.041051,            0.060607,            0.016691,             0.70831,              0.6031,             0.65574,             0.45978,            0.036162,            0.045064,            0.012687,           0.0063987,           0.0063987,           0.0063987
                 111,            0.041071,            0.060938,            0.016613,             0.71212,             0.60198,             0.65598,             0.46011,            0.036151,             0.04506,            0.012674,           0.0063432,           0.0063432,           0.0063432
                 112,            0.041049,            0.060764,            0.016407,             0.71161,             0.60271,             0.65621,             0.46055,            0.036139,            0.045055,            0.012658,           0.0062876,           0.0062876,           0.0062876
                 113,            0.040861,            0.060741,            0.016409,             0.71625,             0.59952,             0.65579,             0.46058,            0.036127,             0.04505,            0.012644,           0.0062319,           0.0062319,           0.0062319
                 114,            0.040836,            0.060843,            0.016466,             0.71098,             0.60365,             0.65596,             0.46085,            0.036117,             0.04504,             0.01263,            0.006176,            0.006176,            0.006176
                 115,             0.04083,             0.06105,            0.016412,              0.7043,             0.60814,             0.65633,             0.46105,            0.036107,             0.04503,             0.01262,           0.0061201,           0.0061201,           0.0061201
                 116,            0.040878,            0.060108,            0.016392,              0.7193,             0.59909,             0.65635,              0.4612,            0.036096,            0.045027,            0.012605,            0.006064,            0.006064,            0.006064
                 117,            0.040666,            0.059963,            0.016182,             0.72049,             0.59874,             0.65652,             0.46143,            0.036086,            0.045024,            0.012591,           0.0060079,           0.0060079,           0.0060079
                 118,             0.04092,            0.061047,            0.016139,             0.70873,             0.60619,             0.65684,             0.46162,            0.036081,            0.045019,             0.01258,           0.0059516,           0.0059516,           0.0059516
                 119,            0.040768,            0.060807,            0.016152,             0.71713,             0.59982,             0.65708,             0.46175,            0.036075,            0.045019,            0.012573,           0.0058953,           0.0058953,           0.0058953
                 120,            0.040626,            0.060789,            0.016148,             0.71903,             0.59899,             0.65699,             0.46195,            0.036066,            0.045014,            0.012563,            0.005839,            0.005839,            0.005839
                 121,            0.040596,            0.060007,            0.016163,             0.72867,             0.59368,             0.65744,             0.46195,            0.036057,            0.045007,            0.012553,           0.0057826,           0.0057826,           0.0057826
                 122,            0.040402,            0.060922,            0.016094,             0.72262,             0.59767,             0.65755,             0.46213,            0.036048,            0.045008,            0.012544,           0.0057261,           0.0057261,           0.0057261
                 123,            0.040511,            0.060182,            0.016042,             0.72122,             0.59834,             0.65762,             0.46208,            0.036038,            0.045007,            0.012536,           0.0056696,           0.0056696,           0.0056696
                 124,            0.040409,            0.060211,            0.015948,             0.72154,             0.59793,              0.6575,             0.46222,            0.036027,            0.045006,            0.012532,           0.0056131,           0.0056131,           0.0056131
